Extinction, scattering, and absorption properties computed for the
carbonaceous - silicate dust model of Weingartner & Draine (2001) and
Li & Draine (2001).

Model consists of mixture of carbonaceous grains, and amorphous
silicate grains.  Carbonaceous grains are PAH-like when small, and
graphite-like when large (see Li & Draine 2001).  Size distributions
from Weingartner & Draine (2001).  PAH optical properties are from Li
& Draine (2001).  Graphite and silicate optical properties from Draine
& Lee (1984), Laor & Draine (1993), Weingartner & Draine (2001), and
Li & Draine (2001).

Grain size distribution: Weingartner & Draine (2001) model for
"LMC 2" dust with C/H = b_C = 10.e-6 in two log-normal size
distributions.

The PAH/graphitic grains in the log-normal size distributions are
assumed to be 50% neutral and 50% ionized.  The PAH/graphitic grains
in the size distribution given by eq. (5,6) of Weingartner & Draine
(2001) are assumed to be 100% ionized.

Calculated by B.T. Draine, Princeton University, 2001.07.05

References:
Draine, B.T., & Lee, H.-M. 1984, "Optical Properties of Interstellar
    Graphite and Silicate Grains", Astrophys. J., 285, 89-108
Laor, A., & Draine, B.T. 1993, "Spectroscopic Constraints on the Properties
    of Dust in Active Galactic Nuclei", Astrophys. J., 402, 441-468
Li, A., & Draine, B.T. 2001, "Infrared Emission from Interstellar Dust. II.
    The Diffuse Interstellar Medium", Astrophys. J., 554, 778-802
Weingartner, J.C., & Draine, B.T. 2001, "Dust Grain-Size Distributions and 
    Extinction in the Milky Way, LMC, and SMC", Astrophys. J., 548, 296-309

Tabulated quantities:
lambda  = wavelength in vacuo (micron) [2401 values from 1.e-2 to 1.e4 um]
albedo  = (scattering cross section)/(extinction cross section)
g       = <cos(theta)> for scattered light
C_ext/H = extinction cross section per H nucleon (cm^2/H)
K_abs   = absorption cross section per mass of dust (cm^2/gram)

 lambda   albedo    g     C_ext/H    K_abs
(micron)                  (cm^2/H)  (cm^2/g)
--------- ------  ------ --------- ---------
2.126E-02 0.3391  0.9550 2.988E-22 3.483E+04
2.138E-02 0.3386  0.9545 2.996E-22 3.495E+04
2.150E-02 0.3381  0.9540 3.005E-22 3.508E+04
2.163E-02 0.3377  0.9535 3.014E-22 3.521E+04
2.175E-02 0.3372  0.9530 3.023E-22 3.533E+04
2.188E-02 0.3367  0.9525 3.032E-22 3.546E+04
2.200E-02 0.3363  0.9520 3.040E-22 3.559E+04
2.213E-02 0.3358  0.9515 3.049E-22 3.572E+04
2.226E-02 0.3353  0.9509 3.058E-22 3.585E+04
2.239E-02 0.3347  0.9504 3.067E-22 3.598E+04
2.252E-02 0.3341  0.9499 3.075E-22 3.612E+04
2.265E-02 0.3332  0.9495 3.083E-22 3.626E+04
2.278E-02 0.3321  0.9490 3.091E-22 3.641E+04
2.291E-02 0.3311  0.9486 3.099E-22 3.656E+04
2.304E-02 0.3338  0.9487 3.073E-22 3.611E+04
2.317E-02 0.3342  0.9479 3.088E-22 3.626E+04
2.331E-02 0.3343  0.9471 3.103E-22 3.643E+04
2.344E-02 0.3343  0.9464 3.117E-22 3.659E+04
2.358E-02 0.3340  0.9457 3.130E-22 3.677E+04
2.371E-02 0.3335  0.9450 3.142E-22 3.693E+04
2.385E-02 0.3331  0.9443 3.154E-22 3.710E+04
2.399E-02 0.3326  0.9437 3.166E-22 3.727E+04
2.413E-02 0.3321  0.9430 3.178E-22 3.744E+04
2.427E-02 0.3316  0.9423 3.190E-22 3.761E+04
2.441E-02 0.3311  0.9417 3.202E-22 3.778E+04
2.455E-02 0.3305  0.9410 3.214E-22 3.795E+04
2.469E-02 0.3299  0.9403 3.226E-22 3.812E+04
2.483E-02 0.3294  0.9397 3.238E-22 3.829E+04
2.497E-02 0.3288  0.9390 3.250E-22 3.847E+04
2.512E-02 0.3282  0.9383 3.261E-22 3.864E+04
2.526E-02 0.3276  0.9376 3.273E-22 3.882E+04
2.541E-02 0.3269  0.9370 3.285E-22 3.899E+04
2.556E-02 0.3263  0.9363 3.296E-22 3.917E+04
2.570E-02 0.3256  0.9356 3.308E-22 3.934E+04
2.585E-02 0.3250  0.9349 3.320E-22 3.952E+04
2.600E-02 0.3243  0.9343 3.332E-22 3.970E+04
2.615E-02 0.3237  0.9336 3.343E-22 3.988E+04
2.630E-02 0.3230  0.9329 3.355E-22 4.006E+04
2.645E-02 0.3223  0.9322 3.367E-22 4.024E+04
2.661E-02 0.3216  0.9315 3.378E-22 4.042E+04
2.676E-02 0.3209  0.9308 3.390E-22 4.060E+04
2.692E-02 0.3202  0.9301 3.402E-22 4.078E+04
2.707E-02 0.3196  0.9294 3.413E-22 4.096E+04
2.723E-02 0.3189  0.9287 3.425E-22 4.114E+04
2.738E-02 0.3182  0.9280 3.436E-22 4.132E+04
2.754E-02 0.3175  0.9273 3.448E-22 4.150E+04
2.770E-02 0.3168  0.9266 3.459E-22 4.168E+04
2.786E-02 0.3162  0.9259 3.471E-22 4.186E+04
